iter	Passed	Remaining
0	3	3048
1	3	1890
2	4	1443
3	5	1270
4	5	1097
5	6	1043
6	6	974
7	7	894
8	7	845
9	8	873
10	9	843
11	9	814
12	10	800
13	11	789
14	11	766
15	12	752
16	12	744
17	13	732
18	14	726
19	15	755
20	16	781
21	18	808
22	18	800
23	19	796
24	20	795
25	20	783
26	21	773
27	22	770
28	23	775
29	23	765
30	24	755
31	25	785
32	27	791
33	27	783
34	28	773
35	28	774
36	29	777
37	30	765
38	30	760
39	31	750
40	31	746
41	32	744
42	33	737
43	33	732
44	34	728
45	34	724
46	35	720
47	36	714
48	36	708
49	36	702
50	37	697
51	38	693
52	38	691
53	40	702
54	41	704
55	41	703
56	42	700
57	42	698
58	43	696
59	44	690
60	44	685
61	45	681
62	45	679
63	46	679
64	46	675
65	47	671
66	47	666
67	48	661
68	48	656
69	49	654
70	49	650
71	50	653
72	51	656
73	52	656
74	53	657
75	53	654
76	54	653
77	55	652
78	56	657
79	56	653
80	57	650
81	57	646
82	58	646
83	59	645
84	60	646
85	61	649
86	62	651
87	63	653
88	63	652
89	64	651
90	65	650
91	65	649
92	66	647
93	66	644
94	67	642
95	68	641
96	68	641
97	69	640
98	70	642
99	71	642
100	72	642
101	72	641
102	73	641
103	74	640
104	75	641
105	76	643
106	77	650
107	78	649
108	79	646
109	79	646
110	80	643
111	80	641
112	81	639
113	82	639
114	82	638
115	83	637
116	84	635
117	85	636
118	85	634
119	86	632
120	86	630
121	87	627
122	87	626
123	89	631
124	90	632
125	90	630
126	91	632
127	92	632
128	93	633
129	94	632
130	95	632
131	97	641
132	98	639
133	98	637
134	99	638
135	105	671
136	106	670
137	107	672
138	109	675
139	110	675
140	110	673
141	111	673
142	113	678
143	113	677
144	116	687
145	117	686
146	118	685
147	120	693
148	121	691
149	121	689
150	122	687
151	122	683
152	123	681
153	123	680
154	124	678
155	124	675
156	125	673
157	126	672
158	126	668
159	127	667
160	127	666
161	128	664
162	129	666
163	130	665
164	131	664
165	131	662
166	133	665
167	137	680
168	137	678
169	138	676
170	139	675
171	140	675
172	141	674
173	141	673
174	142	672
175	144	674
176	145	676
177	146	675
178	146	672
179	147	670
180	147	667
181	147	664
182	148	662
183	148	659
184	149	657
185	149	656
186	150	654
187	151	653
188	151	651
189	152	650
190	152	647
191	153	646
192	154	645
193	154	643
194	155	642
195	156	642
196	156	639
197	157	638
198	158	636
199	158	634
200	159	633
201	159	631
202	160	630
203	161	628
204	161	626
205	162	625
206	162	623
207	163	621
208	163	619
209	164	618
210	165	617
211	165	615
212	166	614
213	166	613
214	167	611
215	167	609
216	168	607
217	168	606
218	169	604
219	169	602
220	170	601
221	171	599
222	173	605
223	174	603
224	174	602
225	175	601
226	176	599
227	176	598
228	177	596
229	177	595
230	178	594
231	179	593
232	179	592
233	180	590
234	181	589
235	181	588
236	182	586
237	182	585
238	183	584
239	184	583
240	184	582
241	185	581
242	186	579
243	186	578
244	187	577
245	187	576
246	188	574
247	189	573
248	189	571
249	190	570
250	191	570
251	191	568
252	192	567
253	193	567
254	193	565
255	194	564
256	195	563
257	195	563
258	196	562
259	197	561
260	197	559
261	198	558
262	198	557
263	199	556
264	200	555
265	200	553
266	201	552
267	201	551
268	202	550
269	203	548
270	203	547
271	204	546
272	204	545
273	205	543
274	205	542
275	206	542
276	207	540
277	207	539
278	208	538
279	209	537
280	209	536
281	210	535
282	211	534
283	211	533
284	212	532
285	212	531
286	213	530
287	214	529
288	214	528
289	215	527
290	216	526
291	216	525
292	217	524
293	218	523
294	218	522
295	219	521
296	219	520
297	220	519
298	220	518
299	221	517
300	222	516
301	222	514
302	223	513
303	224	513
304	224	512
305	225	511
306	226	510
307	226	509
308	227	508
309	228	508
310	229	507
311	229	505
312	229	504
313	230	503
314	230	501
315	231	500
316	232	500
317	232	499
318	233	498
319	234	497
320	234	496
321	235	495
322	236	494
323	236	493
324	237	492
325	237	491
326	238	490
327	239	490
328	239	489
329	240	488
330	241	487
